connections,concurrency,number of messages,size in bytes,Average Latency in us
32,4,32,16384,121
32,4,32,32768,790
32,4,32,65536,467
32,4,32,131072,579
32,4,32,262144,1165
32,4,32,524288,2849
32,4,32,1048576,10147
32,8,32,2,21
32,8,32,4,21
32,8,32,8,23
32,8,32,16,20
32,8,32,32,18
32,8,32,64,23
32,8,32,128,19
32,8,32,256,21
32,8,32,512,25
32,8,32,1024,24
32,8,32,2048,106
32,8,32,4096,172
32,8,32,8192,127
32,8,32,16384,1523
32,8,32,32768,511
32,8,32,65536,636
32,8,32,131072,612
32,8,32,262144,1152
32,8,32,524288,1679
32,8,32,1048576,4178
32,16,32,2,6
32,16,32,4,10
32,16,32,8,23
32,16,32,16,23
32,16,32,32,25
32,16,32,64,26
32,16,32,128,22
32,16,32,256,19
32,16,32,512,8
32,16,32,1024,124
32,16,32,2048,137
32,16,32,4096,296
32,16,32,8192,512
32,16,32,16384,1575
32,16,32,32768,343
32,16,32,65536,689
32,16,32,131072,571
32,16,32,262144,1183
32,16,32,524288,6252
32,16,32,1048576,4537
32,32,32,2,25
32,32,32,4,26
32,32,32,8,23
32,32,32,16,22
32,32,32,32,12
32,32,32,64,5
32,32,32,128,5
32,32,32,256,5
32,32,32,512,226
32,32,32,1024,312
32,32,32,2048,408
32,32,32,4096,1001
32,32,32,8192,601
32,32,32,16384,4738
32,32,32,32768,1338
32,32,32,65536,4725
32,32,32,131072,4039
32,32,32,262144,1283
32,32,32,524288,3999
32,32,32,1048576,3935
32,64,32,2,27
32,64,32,4,27
32,64,32,8,10
32,64,32,16,9
32,64,32,32,21
32,64,32,64,21
32,64,32,128,8
32,64,32,256,5
32,64,32,512,96
32,64,32,1024,99
32,64,32,2048,115
32,64,32,4096,149
32,64,32,8192,213
32,64,32,16384,1323
32,64,32,32768,1424
32,64,32,65536,394
32,64,32,131072,432
32,64,32,262144,2181
32,64,32,524288,1769
32,64,32,1048576,5557
32,128,32,2,17
32,128,32,4,6
32,128,32,8,5
32,128,32,16,10
32,128,32,32,14
32,128,32,64,6
32,128,32,128,24
32,128,32,256,37
32,128,32,512,47
32,128,32,1024,34
32,128,32,2048,70
32,128,32,4096,138
32,128,32,8192,284
32,128,32,16384,121
32,128,32,32768,144
32,128,32,65536,237
32,128,32,131072,704
32,128,32,262144,899
32,128,32,524288,1943
32,128,32,1048576,5712
32,256,32,2,24
32,256,32,4,15
32,256,32,8,10
32,256,32,16,13
32,256,32,32,12
32,256,32,64,18
32,256,32,128,21
32,256,32,256,80
32,256,32,512,48
32,256,32,1024,44
32,256,32,2048,57
32,256,32,4096,108
32,256,32,8192,420
32,256,32,16384,316
32,256,32,32768,159
32,256,32,65536,504
32,256,32,131072,436
32,256,32,262144,980
32,256,32,524288,2165
32,256,32,1048576,4344
32,512,32,2,18
32,512,32,4,7
32,512,32,8,7
32,512,32,16,68
32,512,32,32,15
32,512,32,64,21
32,512,32,128,25
32,512,32,256,27
32,512,32,512,50
32,512,32,1024,41
32,512,32,2048,76
32,512,32,4096,71
32,512,32,8192,275
32,512,32,16384,132
32,512,32,32768,167
32,512,32,65536,342
32,512,32,131072,547
32,512,32,262144,1178
32,512,32,524288,2300
32,512,32,1048576,4564
32,1,64,2,3
32,1,64,4,2
32,1,64,8,2
32,1,64,16,2
32,1,64,32,2
32,1,64,64,2
32,1,64,128,3
32,1,64,256,3
32,1,64,512,6
32,1,64,1024,5
32,1,64,2048,18
32,1,64,4096,33
32,1,64,8192,68
32,1,64,16384,168
32,1,64,32768,407
32,1,64,65536,793
32,1,64,131072,1463
32,1,64,262144,2411
32,1,64,524288,4338
32,1,64,1048576,10554
32,2,64,2,13
32,2,64,4,19
32,2,64,8,22
32,2,64,16,22
32,2,64,32,22
32,2,64,64,23
32,2,64,128,19
32,2,64,256,22
32,2,64,512,22
32,2,64,1024,39
32,2,64,2048,181
32,2,64,4096,62
32,2,64,8192,462
32,2,64,16384,112
32,2,64,32768,190
32,2,64,65536,349
32,2,64,131072,1279
32,2,64,262144,1293
32,2,64,524288,3568
32,2,64,1048576,5313
32,4,64,2,18
32,4,64,4,16
32,4,64,8,18
32,4,64,16,17
32,4,64,32,15
32,4,64,64,11
32,4,64,128,16
32,4,64,25
